CustomerID,Lookalikes
C0001,"[('C0087', 0.5698), ('C0104', 0.5695), ('C0099', 0.5695)]"
C0002,"[('C0084', 0.5378), ('C0136', 0.5378), ('C0162', 0.5372)]"
C0003,"[('C0004', 0.573), ('C0165', 0.5727), ('C0113', 0.5721)]"
C0004,"[('C0165', 0.6589), ('C0082', 0.6455), ('C0087', 0.6396)]"
C0005,"[('C0056', 0.5245), ('C0022', 0.5244), ('C0161', 0.5244)]"
C0006,"[('C0082', 0.5842), ('C0188', 0.5834), ('C0099', 0.5826)]"
C0007,"[('C0022', 0.5364), ('C0200', 0.5364), ('C0021', 0.5361)]"
C0008,"[('C0109', 0.6316), ('C0156', 0.6313), ('C0065', 0.6298)]"
C0009,"[('C0063', 0.5036), ('C0061', 0.5034), ('C0119', 0.5033)]"
C0010,"[('C0017', 0.5475), ('C0124', 0.5473), ('C0075', 0.5436)]"
C0011,"[('C0082', 0.5816), ('C0087', 0.581), ('C0188', 0.5807)]"
C0012,"[('C0165', 0.6371), ('C0082', 0.6315), ('C0087', 0.6263)]"
C0013,"[('C0165', 0.6375), ('C0082', 0.6369), ('C0188', 0.6312)]"
C0014,"[('C0009', 0.5004), ('C0198', 0.5004), ('C0060', 0.5002)]"
C0015,"[('C0131', 0.5072), ('C0042', 0.5071), ('C0036', 0.507)]"
C0016,"[('C0059', 0.5667), ('C0046', 0.5642), ('C0068', 0.5639)]"
C0017,"[('C0075', 0.6381), ('C0141', 0.6375), ('C0041', 0.6291)]"
C0018,"[('C0156', 0.628), ('C0065', 0.6272), ('C0109', 0.6219)]"
C0019,"[('C0017', 0.5477), ('C0124', 0.5475), ('C0053', 0.5459)]"
C0020,"[('C0015', 0.5034), ('C0131', 0.5033), ('C0042', 0.5033)]"
